subject,No
1,7
1,46
1,52
2,55
2,11
2,10
2,26
3,65
3,64
3,73
3,8
3,39
3,8
3,13
4,8
4,25
4,39
4,25
5,24
5,87
6,20
6,6
7,55
7,52
7,88
8,69
8,24
8,57
9,35
9,39
9,90
10,10
10,69
10,46
10,56
11,65
11,75
11,87
11,49
11,17
11,14
12,63
13,15
13,14
13,86
15,37
15,10
16,49
16,4
16,85
16,77
16,64
16,40
16,56
17,60
18,37
18,56
19,39
19,16
19,61
19,39
20,17
20,87
20,86
21,13
21,46
21,13
21,74
21,12
21,87
21,3
21,35
21,50
21,19
21,54
21,90
21,25
21,57
21,25
21,54
21,66
21,10
21,25
21,46
22,26
22,50
22,25
22,27
22,69
22,10
22,65
22,48
22,26
23,66
23,45
23,16
24,50
24,25
24,70
